BIOMASS CALCULATION RESULTS
Generated on: 2026-02-11 13:03:35
Total records: 12

plot	subplot	year	origin	tree status	species	tree number	dbh	height	Wood (KG)	Bark (KG)	Branch (KG)	Foliage (KG)	Stem (KG)	Crown (KG)	Total (KG)
1108656	1	2005a	Natural Stand	L 	13a	1a	19.5a	1a7.07	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1108656	1	2005	Natural Stand	L 	251	2	18.3	14.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1108656	1	2005	Natural Stand	L 	251	3	17	13.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1108656	1	2005	Natural Stand	L 	13	4	17.8	13.82	66.6307	9.7395	10.6986	9.3049	76.3702	20.0034	96.3736
1108656	1	2005	Natural Stand	L 	13	5	15.7	13.81	53.4320	7.8241	7.1165	6.7411	61.2561	13.8576	75.1137
1108656	1	2005	Natural Stand	L 	13	6	18.2	13.64	68.3736	10.0365	11.7178	10.0316	78.4101	21.7493	100.1594
1108656	1	2005	Natural Stand	L 	13	7	15.7	13.32	51.5336	7.6401	7.4916	7.0832	59.1736	14.5748	73.7484
1108656	1	2005	Natural Stand	L 	13	8	16	12s.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1108656	1	2005	Natural Stand	L 	13	9	10.3	10.77	19.8984	3.1891	2.5691	3.2007	23.0875	5.7697	28.8573
1108656	1	2016	Natural Stand	L 	13	95	10.3	10.77	19.8984	3.1891	2.5691	3.2007	23.0875	5.7697	28.8573
9999999	1	2005	Natural Stand	L 	13	18266	11.8	8.66	20.2991	3.4998	5.4532	6.1246	23.7989	11.5779	35.3767
9999999	1	2005	Natural Stand	L 	13	18267	5	4.36	2.2669	0.4996	0.8836	1.7183	2.7665	2.6019	5.3684
