BIOMASS CALCULATION RESULTS
Generated on: 2026-03-15 03:02:03
Total records: 12

plot	subplot	year	origin	tree status	species	tree number	dbh	height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
1108656	1	2005a	Natural Stand	L 	13a	1a	19.5a	1a7.07	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1108656	1	2005	Natural Stand	L 	251	2	18.3	14.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1108656	1	2005	Natural Stand	L 	251	3	17	13.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1108656	1	2005	Natural Stand	L 	13	4	17.8	13.82	66.5	9.8	9.7	11.2	20.9	76.3	97.2
1108656	1	2005	Natural Stand	L 	13	5	15.7	13.81	48.5	7.4	8.1	8.6	16.7	55.9	72.6
1108656	1	2005	Natural Stand	L 	13	6	18.2	13.64	70.3	10.3	10.0	11.7	21.7	80.6	102.3
1108656	1	2005	Natural Stand	L 	13	7	15.7	13.32	48.5	7.4	8.1	8.6	16.7	55.9	72.6
1108656	1	2005	Natural Stand	L 	13	8	16	12s.08	50.9	7.7	8.3	9.0	17.3	58.6	75.9
1108656	1	2005	Natural Stand	L 	13	9	10.3	10.77	16.8	2.9	4.5	3.6	8.0	19.7	27.7
1108656	1	2016	Natural Stand	L 	13	95	10.3	10.77	16.8	2.9	4.5	3.6	8.0	19.7	27.7
9999999	1	2005	Natural Stand	L 	13	18266	11.8	8.66	23.7	3.9	5.4	4.8	10.2	27.5	37.7
9999999	1	2005	Natural Stand	L 	13	18267	5	4.36	2.7	0.6	1.6	0.8	2.4	3.3	5.7
