Species,Parameter,Estimate
Alpine fir,b_wood1,0.0268
Alpine fir,b_wood2,1.7579
Alpine fir,b_wood3,0.9871
Alpine fir,b_bark1,0.0009
Alpine fir,b_bark2,1.446
Alpine fir,b_bark3,1.8839
Alpine fir,b_branches1,0.047
Alpine fir,b_branches2,2.9288
Alpine fir,b_branches3,-1.1588
Alpine fir,b_foliage1,0.0551
Alpine fir,b_foliage2,1.7585
Alpine fir,b_foliage3,0
Balsam fir,b_wood1,0.0294
Balsam fir,b_wood2,1.8357
Balsam fir,b_wood3,0.864
Balsam fir,b_bark1,0.0053
Balsam fir,b_bark2,2.0876
Balsam fir,b_bark3,0.5842
Balsam fir,b_branches1,0.0117
Balsam fir,b_branches2,3.5097
Balsam fir,b_branches3,-1.3006
Balsam fir,b_foliage1,0.1245
Balsam fir,b_foliage2,2.523
Balsam fir,b_foliage3,-1.123
Balsam poplar,b_wood1,0.0117
Balsam poplar,b_wood2,1.7757
Balsam poplar,b_wood3,1.2555
Balsam poplar,b_bark1,0.018
Balsam poplar,b_bark2,1.8131
Balsam poplar,b_bark3,0.5144
Balsam poplar,b_branches1,0.0112
Balsam poplar,b_branches2,3.0861
Balsam poplar,b_branches3,-0.7164
Balsam poplar,b_foliage1,0.0617
Balsam poplar,b_foliage2,1.8615
Balsam poplar,b_foliage3,-0.5375
Basswood,b_wood1,0.0168
Basswood,b_wood2,1.9844
Basswood,b_wood3,0.8989
Basswood,b_bark1,0.0057
Basswood,b_bark2,1.5881
Basswood,b_bark3,1.1472
Basswood,b_branches1,0.0039
Basswood,b_branches2,2.0084
Basswood,b_branches3,0.8588
Basswood,b_foliage1,0.0147
Basswood,b_foliage2,1.83
Basswood,b_foliage3,0
Beech,b_wood1,0.0432
Beech,b_wood2,2.0378
Beech,b_wood3,0.7
Beech,b_bark1,0.0049
Beech,b_bark2,1.9057
Beech,b_bark3,0.677
Beech,b_branches1,0.0355
Beech,b_branches2,2.3749
Beech,b_branches3,0
Beech,b_foliage1,0.0452
Beech,b_foliage2,1.5567
Beech,b_foliage3,0
Black ash,b_wood1,0.0306
Black ash,b_wood2,2.1836
Black ash,b_wood3,0.574
Black ash,b_bark1,0.0897
Black ash,b_bark2,2.2634
Black ash,b_bark3,-0.567
Black ash,b_branches1,0.0994
Black ash,b_branches2,2.163
Black ash,b_branches3,-0.4809
Black ash,b_foliage1,0.0124
Black ash,b_foliage2,1.0325
Black ash,b_foliage3,0.8747
Black cherry,b_wood1,0.0181
Black cherry,b_wood2,1.7013
Black cherry,b_wood3,1.3057
Black cherry,b_bark1,0.0101
Black cherry,b_bark2,1.5956
Black cherry,b_bark3,0.919
Black cherry,b_branches1,0.0005
Black cherry,b_branches2,2.8004
Black cherry,b_branches3,0.8603
Black cherry,b_foliage1,0.1976
Black cherry,b_foliage2,1.4421
Black cherry,b_foliage3,-0.5264
Black spruce,b_wood1,0.0309
Black spruce,b_wood2,1.7527
Black spruce,b_wood3,1.0014
Black spruce,b_bark1,0.0115
Black spruce,b_bark2,1.7405
Black spruce,b_bark3,0.6589
Black spruce,b_branches1,0.038
Black spruce,b_branches2,3.2558
Black spruce,b_branches3,-1.4218
Black spruce,b_foliage1,0.2048
Black spruce,b_foliage2,2.5754
Black spruce,b_foliage3,-1.3704
Eastern hemlock,b_wood1,0.0257
Eastern hemlock,b_wood2,1.9277
Eastern hemlock,b_wood3,0.8576
Eastern hemlock,b_bark1,0.0118
Eastern hemlock,b_bark2,1.9893
Eastern hemlock,b_bark3,0.47
Eastern hemlock,b_branches1,0.0215
Eastern hemlock,b_branches2,2.6553
Eastern hemlock,b_branches3,-0.4682
Eastern hemlock,b_foliage1,0.1471
Eastern hemlock,b_foliage2,2.0108
Eastern hemlock,b_foliage3,-0.608
Eastern redcedar,b_wood1,0.052
Eastern redcedar,b_wood2,1.7731
Eastern redcedar,b_wood3,0.7054
Eastern redcedar,b_bark1,0.0283
Eastern redcedar,b_bark2,1.7079
Eastern redcedar,b_bark3,0
Eastern redcedar,b_branches1,0.0219
Eastern redcedar,b_branches2,2.3585
Eastern redcedar,b_branches3,0
Eastern redcedar,b_foliage1,0.2575
Eastern redcedar,b_foliage2,2.5136
Eastern redcedar,b_foliage3,-1.5565
Eastern white-cedar,b_wood1,0.0295
Eastern white-cedar,b_wood2,1.7026
Eastern white-cedar,b_wood3,0.9428
Eastern white-cedar,b_bark1,0.0076
Eastern white-cedar,b_bark2,1.7861
Eastern white-cedar,b_bark3,0.6132
Eastern white-cedar,b_branches1,0.0501
Eastern white-cedar,b_branches2,2.5165
Eastern white-cedar,b_branches3,-0.8774
Eastern white-cedar,b_foliage1,0.0813
Eastern white-cedar,b_foliage2,2.218
Eastern white-cedar,b_foliage3,-0.7907
Eastern white pine,b_wood1,0.017
Eastern white pine,b_wood2,1.7779
Eastern white pine,b_wood3,1.137
