SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
1,Eastern White Pine,ACH_BPGP,19.8,18.6,87.76,13.83,9.239,13.21
1,Eastern White Pine,ACH_MPGP,12.4,13.7,30.32,4.932,3.731,3.911
1,Eastern White Pine,ACH_APGP,17.3,16.8,64.59,10.27,7.113,9.3
1,Eastern White Pine,ACH_MPGP,26.7,21.3,173.0,26.73,16.49,28.75
1,Eastern White Pine,CE7014PSP,4,4.1,2.322,0.4075,0.4167,0.2062
1,Eastern White Pine,LWP1994013PSP,19.9,11.49,88.77,13.99,9.329,13.39
1,Eastern White Pine,CE1007PSP,2.6,3.16,0.8731,0.1577,0.1809,0.06723
1,Eastern White Pine,ACH_MPGP,16,14,54.09,8.649,6.114,7.59
1,Eastern White Pine,CE3002PSP,45.2,29.7,571.9,85.29,45.72,113.1
1,Eastern White Pine,CE1010PSP,4.5,4.43,3.034,0.5283,0.5235,0.2801
1,Eastern White Pine,FCTEM2004070PGP,5.1,4.41,4.032,0.6961,0.6672,0.3878
1,Eastern White Pine,CE0068PSP,32.8,24.4,276.1,42.07,24.57,49.11
1,Eastern White Pine,SR0401PSP,3.5,3.5,1.715,0.3036,0.3217,0.1457
1,Eastern White Pine,CE1017PSP,9.9,6.95,18.18,3.002,2.412,2.177
1,Eastern White Pine,ACH_EPGP,16,20.1,54.09,8.649,6.114,7.59
1,Eastern White Pine,SR4222PSP,57.5,29.4,987.9,145.0,72.89,211.5
1,Eastern White Pine,CE1004PSP,4.7,3.73,3.349,0.5814,0.5695,0.3136
1,Eastern White Pine,ACH_FPGP,45.1,29.08,569.1,84.87,45.53,112.4
1,Eastern White Pine,CE3014PSP,2.9,4.85,1.119,0.2006,0.2235,0.08932
1,Eastern White Pine,CE5007PSP,54.4,29.41,871.1,128.3,65.47,183.1
1,Eastern White Pine,CE3029PSP,18.7,22.3,77.08,12.2,8.27,11.39
1,Eastern White Pine,1253186PIP,13.7,8.2,38.03,6.143,4.526,5.069
1,Eastern White Pine,ACH_BPGP,43.4,30.7,521.5,77.98,42.26,101.7
1,Eastern White Pine,SR0406PSP,37.1,24.7,365.2,55.19,31.19,67.65
2,Red Pine,ACH_KPGP,30.7,21.7,245.2,21.22,25.31,40.77
2,Red Pine,WWA1993003PSP,4,3.54,1.676,0.3236,0.3732,0.1497
2,Red Pine,CE4113PSP,30.6,27.57,243.3,21.08,25.14,40.41
2,Red Pine,CE1039PSP,8.9,7.94,11.86,1.671,1.953,1.351
2,Red Pine,CE3000PSP,6.8,8.2,6.138,0.9617,1.119,0.6444
2,Red Pine,FCBOW56-2005-14PGP,3.8,4.8,1.478,0.2913,0.3357,0.13
2,Red Pine,CE2007PSP,33.9,17.2,312.5,26.01,31.07,53.56
2,Red Pine,CE3000PSP,18.5,21,71.03,7.504,8.874,10.12
2,Red Pine,CE1008PSP,7.1,5.4,6.822,1.051,1.223,0.7257
2,Red Pine,CE4110PSP,2.9,3.1,0.763,0.1672,0.1919,0.06177
2,Red Pine,CE1017PSP,50.8,19.6,840.8,59.67,71.74,163.0
2,Red Pine,ACH_CPGP,33,26.77,292.6,24.62,29.39,49.74
2,Red Pine,ACH_CPGP,26.4,25.1,169.5,15.57,18.52,26.92
2,Red Pine,CE3004PSP,16.8,16.8,56.1,6.157,7.269,7.762
2,Red Pine,CE0067PSP,14.3,15.17,37.83,4.423,5.209,4.982
2,Red Pine,ACH_HPGP,30.5,20.1,241.3,20.94,24.97,40.05
2,Red Pine,CE1033PSP,38.1,23.26,415.9,33.06,39.56,73.86
2,Red Pine,ACH_APGP,4.8,6.4,2.618,0.4705,0.5443,0.2471
2,Red Pine,LWP1993001PSP,17.7,21.44,63.74,6.853,8.098,8.96
2,Red Pine,CE2015PSP,21.3,17.9,100.3,10.02,11.88,14.91
2,Red Pine,ACH_KPGP,17.8,17,64.63,6.933,8.193,9.1
2,Red Pine,CE1000PSP,21,15.55,96.85,9.734,11.53,14.34
2,Red Pine,CE2007PSP,3.3,3.1,1.047,0.218,0.2507,0.08815
2,Red Pine,CE1011PSP,14.9,10.36,41.83,4.812,5.671,5.579
3,Jack Pine,FCABI200418PGP,4,6.52,2.253,0.3245,0.4275,0.2249
3,Jack Pine,FCTEM2003059PGP,22.6,17.5,144.8,11.7,8.535,14.74
3,Jack Pine,FCBOW12-9A-0PGP,18,17.3,83.76,7.305,5.759,8.506
3,Jack Pine,KLK1994027PSP,13.3,11.37,40.47,3.904,3.413,4.095
3,Jack Pine,FCABI200523PGP,31,19.16,309.5,22.51,14.74,31.62
3,Jack Pine,GGM1994017PSP,32,24.7,334.0,24.04,15.57,34.14
3,Jack Pine,FCDOM200334PGP,29,24.04,263.6,19.61,13.14,26.92
3,Jack Pine,FCWEY4S2001059PGP,33.8,24.9,381.0,26.92,17.12,38.97
3,Jack Pine,FCWEY4S2002009PGP,14.7,10.6,51.48,4.803,4.057,5.215
3,Jack Pine,FCBOW4-2002-11PGP,5.6,6.28,5.058,0.6513,0.7648,0.5068
3,Jack Pine,FCDOM200436PGP,26.1,20.95,204.6,15.76,10.95,20.87
3,Jack Pine,FCWEY4S2001040PGP,19.9,14,106.6,8.992,6.85,10.84
3,Jack Pine,GGM1994002PSP,14.5,18.55,49.81,4.669,3.962,5.046
3,Jack Pine,1191036PIP,23.3,19.4,155.8,12.46,8.997,15.87
3,Jack Pine,LSJP1993031PSP,5.7,5.42,5.278,0.6756,0.7886,0.529
3,Jack Pine,LSJP1993002PSP,11.5,8.55,28.53,2.889,2.654,2.882
3,Jack Pine,FCWEY4S2002024PGP,4,5.5,2.253,0.3245,0.4275,0.2249
3,Jack Pine,FCBOW12-2002-13PGP,7.2,4.71,9.255,1.096,1.181,0.9301
3,Jack Pine,GGM1994025PSP,35.6,24.72,431.6,29.98,18.72,44.17
3,Jack Pine,PIK2001004PSP,9.9,12.25,19.9,2.119,2.048,2.007
3,Jack Pine,FCABI200528PGP,8,12.12,11.92,1.363,1.417,1.2
3,Jack Pine,FCWEY4S2002053PGP,5.1,4.93,4.039,0.5367,0.6506,0.4044
3,Jack Pine,FCTEM2003070PGP,25.4,14.48,191.7,14.9,10.44,19.54
3,Jack Pine,WWA1995022PSP,35.4,26.97,425.8,29.63,18.54,43.58
5,Pitch Pine,SR5023PSP,16.8,10.6,16.8,16.8,16.8,16.8
5,Pitch Pine,SR5023PSP,23.2,11.1,23.2,23.2,23.2,23.2
5,Pitch Pine,SR5023PSP,28.4,9.5,28.4,28.4,28.4,28.4
5,Pitch Pine,SR5023PSP,11.7,8.1,11.7,11.7,11.7,11.7
5,Pitch Pine,SR5023PSP,3.4,3.47,3.4,3.4,3.4,3.4
5,Pitch Pine,SR5023PSP,7.4,4.82,7.4,7.4,7.4,7.4
5,Pitch Pine,SR5023PSP,31.7,13.1,31.7,31.7,31.7,31.7
5,Pitch Pine,SR5023PSP,9.2,6.71,9.2,9.2,9.2,9.2
5,Pitch Pine,SR5023PSP,26.3,14.4,26.3,26.3,26.3,26.3
5,Pitch Pine,SR5023PSP,28.9,14.1,28.9,28.9,28.9,28.9
5,Pitch Pine,SR5023PSP,18,9.25,18.0,18.0,18.0,18.0
5,Pitch Pine,SR5023PSP,9.4,8.19,9.4,9.4,9.4,9.4
5,Pitch Pine,SR5023PSP,26.5,8.98,26.5,26.5,26.5,26.5
5,Pitch Pine,SR5023PSP,11.2,7.51,11.2,11.2,11.2,11.2
5,Pitch Pine,SR5023PSP,5.5,8,5.5,5.5,5.5,5.5
5,Pitch Pine,SR5023PSP,12,7.8,12.0,12.0,12.0,12.0
5,Pitch Pine,SR5023PSP,20.8,8.8,20.8,20.8,20.8,20.8
5,Pitch Pine,SR5023PSP,5.6,4.87,5.6,5.6,5.6,5.6
5,Pitch Pine,SR5023PSP,4.1,5.01,4.1,4.1,4.1,4.1
5,Pitch Pine,SR5023PSP,6,5,6.0,6.0,6.0,6.0
5,Pitch Pine,SR5401PSP,50.2,24.7,50.2,50.2,50.2,50.2
5,Pitch Pine,SR5023PSP,11.7,9.25,11.7,11.7,11.7,11.7
12,White Spruce,FCTEM2004040PGP,33.7,24.4,310.9,38.14,27.89,42.93
12,White Spruce,CHA2008002PSP,4.2,3.5,1.451,0.3157,1.314,0.5618
12,White Spruce,HEA1995002PSP,10.2,9.4,14.28,2.435,4.831,3.564
12,White Spruce,LSJP1994009PSP,8,5.35,7.635,1.392,3.382,2.149
12,White Spruce,GGM1994013PSP,27.4,21.36,182.3,23.68,20.59,27.9
12,White Spruce,FCBOW78-2626-6PGP,9.3,8.91,11.26,1.968,4.218,2.941
12,White Spruce,FCTEM2001018PGP,4.3,4.26,1.541,0.3333,1.36,0.59
12,White Spruce,CE7003PSP,3.1,2.6,0.6631,0.1569,0.8418,0.2985
12,White Spruce,FCTEM2004058PGP,24.5,18.12,136.7,18.31,17.47,22.1
12,White Spruce,FCDOM200435PGP,5.8,4.52,3.333,0.6638,2.11,1.1
12,White Spruce,CHT2002019PGP,38,23.33,423.6,50.28,33.26,55.13
12,White Spruce,CHT2002034PGP,45.2,26.57,662.5,74.98,42.9,79.12
12,White Spruce,1253116PIP,15.2,12.9,39.93,6.1,8.673,8.18
12,White Spruce,FCTEM2002047PGP,31.7,23.04,265.5,33.13,25.49,37.8
12,White Spruce,FCTEM2001093PGP,23.2,14.8,118.8,16.15,16.13,19.73
12,White Spruce,ACH_CPGP,33.5,28.2,306.1,37.62,27.65,42.4
12,White Spruce,FCTEM2001118PGP,7,5.18,5.412,1.023,2.781,1.628
12,White Spruce,COC2019001PSP,6.1,4.5,3.796,0.7455,2.272,1.222
12,White Spruce,CHA1995012PSP,12.1,8.3,22.18,3.608,6.206,5.087
12,White Spruce,CE0071PSP,38.4,26.5,435.2,51.51,33.78,56.34
12,White Spruce,FCTEM2003046PGP,15.5,12.9,41.99,6.38,8.925,8.52
12,White Spruce,FCBUC_LH200706PGP,23.5,10.3,122.8,16.63,16.43,20.27
12,White Spruce,FCBOW56-021-0PGP,18.7,10.4,68.12,9.829,11.75,12.59
12,White Spruce,BP1993040PSP,29.2,21.03,214.8,27.42,22.6,31.85
13,Black Spruce,TBP1992006PSP,7.7,7.6,8.087,1.489,2.956,1.956
13,Black Spruce,1314886PIP,26.8,20.3,186.1,24.43,17.25,26.31
13,Black Spruce,FCTEM_KAP2000046PGP,21,16.27,100.8,14.14,12.22,15.83
13,Black Spruce,LSJP1993012PSP,16.6,11.05,55.81,8.342,8.761,9.697
13,Black Spruce,FCWEY_KEN2003016PGP,13.6,14.01,33.81,5.335,6.609,6.401
13,Black Spruce,FCTEM2003074PGP,25.2,22.01,159.4,21.28,15.81,23.14
13,Black Spruce,LSJP1994003PSP,4.6,5.11,2.214,0.469,1.427,0.6686
13,Black Spruce,SUD2004003PGP,7.1,5.22,6.594,1.242,2.636,1.652
13,Black Spruce,GCF1994008PGP,25.4,18.54,162.6,21.66,15.99,23.53
13,Black Spruce,CHA1995002PSP,5,5.2,2.73,0.5655,1.605,0.7955
13,Black Spruce,BP1993015PSP,9.2,7.42,12.65,2.22,3.802,2.835
13,Black Spruce,1170511PIP,8.1,6.3,9.185,1.669,3.176,2.174
13,Black Spruce,1211956PIP,11.5,10.4,22.17,3.662,5.213,4.513
13,Black Spruce,1143071PIP,18.8,12,76.32,11.03,10.45,12.57
13,Black Spruce,1184261PIP,30.3,27,253.5,32.17,20.52,33.98
13,Black Spruce,FCTEM2002012PGP,27.2,17.64,193.2,25.25,17.61,27.14
13,Black Spruce,KLK1994043PSP,9.4,8.7,13.35,2.33,3.92,2.964
13,Black Spruce,FCWEY_KEN2003021PGP,20.4,16.8,93.72,13.25,11.73,14.9
13,Black Spruce,FCBOW78-003-0PGP,29.8,19.4,243.1,30.99,20.04,32.82
13,Black Spruce,FCBOW12-167-4PGP,28.2,22.49,211.6,27.38,18.54,29.26
13,Black Spruce,FCACI_KE200005PGP,13.8,13.85,35.07,5.512,6.747,6.598
13,Black Spruce,FCBOW56-2006-06PGP,27.2,21.84,193.2,25.25,17.61,27.14
13,Black Spruce,FCABI200322PGP,22.7,19.1,122.6,16.83,13.64,18.62
13,Black Spruce,FCWEY4S2001067PGP,3.7,3.64,1.28,0.2878,1.048,0.4247
14,Red Spruce,HEM_LAWR130PGP,24.1,20,140.6,17.06,14.65,16.79
14,Red Spruce,NOR2013002PSP,21.5,18.6,108.4,13.44,11.11,11.55
14,Red Spruce,NOR2013002PSP,39.7,23,439.2,48.44,49.06,86.1
14,Red Spruce,HEM_LAWR228PGP,40,14,446.8,49.21,49.96,88.25
14,Red Spruce,HEM_LAWR228PGP,43.4,22.4,538.2,58.36,60.87,115.3
14,Red Spruce,NOR2013002PSP,23.6,17.3,134.1,16.33,13.92,15.68
14,Red Spruce,NOR2013002PSP,37.1,19.6,376.3,42.04,41.64,68.97
14,Red Spruce,NOR2013002PSP,18.7,12.1,78.85,10.04,7.926,7.316
14,Red Spruce,HEM_PECK614PGP,6.9,5,8.109,1.248,0.709,0.2794
14,Red Spruce,HEM_CLYD204PGP,47.8,7,670.9,71.41,76.9,158.2
14,Red Spruce,NOR2013002PSP,26.4,17,173.2,20.64,18.27,22.63
14,Red Spruce,CE1005PSP,3.6,3.8,1.838,0.3203,0.1467,0.03318
14,Red Spruce,HEM_LAWR130PGP,9.4,7,16.42,2.383,1.499,0.7691
14,Red Spruce,NOR2013002PSP,14.9,16.4,46.96,6.242,4.573,3.477
14,Red Spruce,NOR2013002PSP,17.1,16.3,64.29,8.325,6.383,5.458
14,Red Spruce,NOR2013002PSP,13.1,8.5,35.01,4.769,3.348,2.281
14,Red Spruce,NOR2013002PSP,21.7,13,110.7,13.7,11.36,11.91
14,Red Spruce,NOR2013002PSP,29.6,19.1,224.8,26.22,24.1,32.92
14,Red Spruce,CE1005PSP,3.5,3.43,1.724,0.302,0.1371,0.03025
14,Red Spruce,NOR2013002PSP,25.7,19.6,162.9,19.51,17.12,20.73
19,Eastern Hemlock,HEM_PENT367PGP,19.4,17,72.34,13.84,11.98,17.94
19,Eastern Hemlock,HEM_DICK300PGP,27.5,20,166.1,31.19,21.68,39.53
19,Eastern Hemlock,SR5022PSP,29.3,17.55,193.2,36.16,24.14,45.64
19,Eastern Hemlock,CE4122PSP,9.9,9.08,14.57,2.891,3.819,3.907
19,Eastern Hemlock,HEM_DEVI944PGP,44.5,22,522.7,95.66,49.12,117.6
19,Eastern Hemlock,ARGS060PGP,26.7,17.37,154.8,29.12,20.62,36.98
19,Eastern Hemlock,HEM_DICK611PGP,3.6,3.6,1.309,0.2743,0.6844,0.395
19,Eastern Hemlock,HEM_DICK604PGP,4.9,8,2.728,0.5622,1.156,0.7943
19,Eastern Hemlock,HEM_LAWR224PGP,23,16,108.5,20.58,16.0,26.37
19,Eastern Hemlock,HEM_DICK300PGP,12.3,10,24.43,4.792,5.523,6.389
19,Eastern Hemlock,ARGS244PGP,36.1,17.98,317.6,58.78,34.42,73.23
19,Eastern Hemlock,HEM_DICK598PGP,35,17,295.0,54.69,32.66,68.27
19,Eastern Hemlock,HEM_DICK615PGP,15.7,9,43.7,8.459,8.362,11.11
19,Eastern Hemlock,ARGS059PGP,35,16.46,295.0,54.69,32.66,68.27
19,Eastern Hemlock,HEM_CLYD477PGP,3.8,6,1.489,0.3111,0.7502,0.4465
19,Eastern Hemlock,SR5022PSP,6.9,6.32,6.165,1.247,2.068,1.725
19,Eastern Hemlock,HEM_DICK300PGP,27,17,159.0,29.89,21.01,37.93
19,Eastern Hemlock,HEM_DICK300PGP,16.1,13.5,46.39,8.969,8.727,11.76
