SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
European Buckthorn,SR1001PSP,4,8.2,2.187,0.5167,0.3707,0.1569
Eastern White Pine,ACH_MPGP,12.4,13.7,29.3,5.52,3.436,3.342
Eastern White Pine,ACH_APGP,17.3,16.8,66.8,11.66,6.412,7.762
Eastern White Pine,ACH_MPGP,26.7,21.3,189.2,30.07,14.7,24.01
Eastern White Pine,CE7014PSP,4,4.1,0.9945,0.2659,0.5606,0.3334
Eastern White Pine,LWP1994013PSP,19.9,11.49,55.62,10.22,11.01,18.36
Eastern White Pine,CE1007PSP,2.6,3.16,0.3439,0.1014,0.2496,0.1117
Eastern White Pine,ACH_MPGP,16,14,47.25,8.602,6.002,7.373
Eastern White Pine,CE3002PSP,45.2,29.7,704.1,99.03,39.19,89.99
Eastern White Pine,CE1010PSP,4.5,4.43,1.339,0.3482,0.6968,0.4467
Eastern White Pine,FCTEM2004070PGP,5.1,4.41,1.664,0.4267,0.9247,0.6697
Eastern White Pine,CE0068PSP,32.8,24.4,318.4,48.19,21.49,39.98
Eastern White Pine,SR0401PSP,3.5,3.5,0.6552,0.1831,0.4569,0.2584
Eastern White Pine,CE1017PSP,9.9,6.95,9.077,1.983,3.112,3.403
Eastern White Pine,ACH_EPGP,16,20.1,71.28,12.16,4.837,4.975
Eastern White Pine,SR4222PSP,57.5,29.4,1068.0,146.2,67.58,196.4
Eastern White Pine,CE1004PSP,4.7,3.73,1.19,0.3174,0.8511,0.6189
Eastern White Pine,ACH_FPGP,45.1,29.08,684.7,96.69,39.49,91.43
Eastern White Pine,CE3014PSP,2.9,4.85,0.6796,0.1832,0.2468,0.09936
Eastern White Pine,CE5007PSP,54.4,29.41,967.9,133.4,59.68,164.5
Eastern White Pine,CE3029PSP,18.7,22.3,105.8,17.4,6.446,7.315
Eastern White Pine,1253186PIP,13.7,8.2,19.52,3.983,5.835,8.032
Eastern White Pine,ACH_BPGP,43.4,30.7,680.2,95.56,35.08,76.23
Eastern White Pine,SR0406PSP,37.1,24.7,401.9,59.81,28.11,58.49
Red Pine,ACH_KPGP,30.7,21.7,273.4,21.01,23.1,34.48
Red Pine,WWA1993003PSP,4,3.54,0.6634,0.4094,0.7414,0.3022
Red Pine,CE4113PSP,30.6,27.57,373.6,23.37,19.21,25.62
Red Pine,CE1039PSP,8.9,7.94,8.008,2.008,2.663,1.729
Red Pine,CE3000PSP,6.8,8.2,5.187,1.354,1.384,0.6687
Red Pine,FCBOW56-2005-14PGP,3.8,4.8,0.9078,0.4362,0.5251,0.1766
Red Pine,CE2007PSP,33.9,17.2,239.3,21.93,34.59,63.66
Red Pine,CE3000PSP,18.5,21,106.6,9.588,7.22,6.45
Red Pine,CE1008PSP,7.1,5.4,3.215,1.191,2.084,1.274
Red Pine,CE4110PSP,2.9,3.1,0.3145,0.2362,0.3848,0.1192
Red Pine,CE1017PSP,50.8,19.6,583.1,43.08,81.07,214.3
Red Pine,ACH_CPGP,33,26.77,410.7,25.86,23.43,34.27
Red Pine,ACH_CPGP,26.4,25.1,253.8,17.88,14.57,17.38
Red Pine,CE3004PSP,16.8,16.8,66.83,7.467,6.79,6.075
Red Pine,CE0067PSP,14.3,15.17,43.86,5.575,5.019,3.976
Red Pine,ACH_HPGP,30.5,20.1,244.1,20.08,24.07,36.95
Red Pine,CE1033PSP,38.1,23.26,439.6,30.13,36.41,65.94
Red Pine,ACH_APGP,4.8,6.4,2.013,0.711,0.7343,0.2763
Red Pine,LWP1993001PSP,17.7,21.44,101.4,9.052,6.41,5.418
Red Pine,CE2015PSP,21.3,17.9,110.7,11.03,11.3,12.58
Red Pine,ACH_KPGP,17.8,17,75.22,8.197,7.708,7.285
Red Pine,CE1000PSP,21,15.55,89.57,10.11,12.13,14.18
Red Pine,CE2007PSP,3.3,3.1,0.3955,0.2874,0.5209,0.1846
Red Pine,CE1011PSP,14.9,10.36,28.42,4.971,7.322,7.206
Jack Pine,FCABI200418PGP,4,6.52,2.136,0.3955,NotAv,0.2038
Jack Pine,FCTEM2003059PGP,22.6,17.5,135.9,11.36,NotAv,15.43
Jack Pine,FCBOW12-9A-0PGP,18,17.3,91.25,7.842,NotAv,7.781
Jack Pine,KLK1994027PSP,13.3,11.37,32.46,3.764,NotAv,4.656
Jack Pine,FCABI200523PGP,31,19.16,259.5,19.88,NotAv,37.12
Jack Pine,GGM1994017PSP,32,24.7,375.6,24.33,NotAv,31.88
Jack Pine,FCDOM200334PGP,29,24.04,307.5,20.46,NotAv,24.22
Jack Pine,FCWEY4S2001059PGP,33.8,24.9,416.1,26.69,NotAv,37.39
Jack Pine,FCWEY4S2002009PGP,14.7,10.6,35.22,4.236,NotAv,6.774
Jack Pine,FCBOW4-2002-11PGP,5.6,6.28,3.597,0.6625,NotAv,0.5918
Jack Pine,FCDOM200436PGP,26.1,20.95,216.9,15.92,NotAv,20.09
Jack Pine,FCWEY4S2001040PGP,19.9,14,83.05,8.116,NotAv,13.02
Jack Pine,GGM1994002PSP,14.5,18.55,69.09,5.784,NotAv,3.751
Jack Pine,1191036PIP,23.3,19.4,162.7,12.69,NotAv,15.31
