Species,Wood (kg),Bark (kg),Branch (kg),Foliage (kg),Total (kg),Wood %,Bark %,Branch %,Foliage %
1,81.0831,13.4455,9.6064,11.0699,115.2049,70.4,11.7,8.3,9.6
2,465.5160,67.4290,52.1490,78.6958,663.7898,70.1,10.2,7.9,11.9
3,25841.6788,2476.2640,2617.7738,2252.0460,33187.7626,77.9,7.5,7.9,6.8
12,915.2495,132.7868,172.9020,181.1238,1402.0621,65.3,9.5,12.3,12.9
13,85450.8916,13420.4141,16202.5038,18582.0876,133655.8971,63.9,10.0,12.1,13.9
20,9113.8777,1717.4144,1677.9486,2546.7373,15055.9780,60.5,11.4,11.1,16.9
22,3895.9916,539.5422,801.7355,607.2938,5844.5631,66.7,9.2,13.7,10.4
25,2853.8939,328.0186,551.4095,329.8719,4063.1939,70.2,8.1,13.6,8.1
32,203.6251,31.5096,49.6652,15.1411,299.9410,67.9,10.5,16.6,5.0
38,9296.4285,1652.4823,2409.1590,1032.7099,14390.7797,64.6,11.5,16.7,7.2
51,39.4006,9.2202,10.1970,2.6334,61.4512,64.1,15.0,16.6,4.3
73,1213.8074,251.1120,255.3918,54.5433,1774.8545,68.4,14.1,14.4,3.1
74,14221.7751,3120.4928,2157.6306,577.3050,20077.2035,70.8,15.5,10.7,2.9
