PlotName	PlotKey	FieldSeasonYear	StandOriginCode	TreeStatusCode	TreeNum	SpecCode	DBH	HtTot
FCDOM200545PGP	5664	2022	N	L	50	1091	18.5	11.7
1280546PIP	37	2008	N	L	6	45	17.7	15.9
SR1004PSP	8988	2008	N	L	3	46	33.7	27.1
FCTEM2004040PGP	6090	2009	N	L	245	12	33.7	24.4
TIM2015001PSP	7082	2015	N	L	26	25	27.9	21.1
SR2013PSP	9035	2016	N	L	35	51	30	25.3
NBBY043PGP	12421	2003	N	L	42	170	14.8	15.4
NBPWP031PGP	12386	2002	N	L	134	139	5.5	7.5
SR1004PSP	8988	2008	N	L	6	89	50.9	29.3
SR4426PSP	9142	1999	N	L	49	56	11	11.4
NP1996002PSP	2970	2003	N	L	79	74	22.8	21.3
SR2011PSP	9033	1994	N	L	55	70	40.6	23.9
SR0201PSP	8961	1992	N	L	48	33	4.2	8.22
SR5204PSP	9165	1995	N	L	89	169	15.5	14.2
SR1008PSP	8990	2000	N	L	1	89	34.1	30.1
SR1210PSP	9011	1994	N	L	35	136	44.1	26
SR0206PSP	8966	1998	N	L	27	54	12.6	15.6
CE1036PSP	8741	2000	N	L	112	30	21.5	19
CHA2008002PSP	6867	2010	N	L	58	12	4.2	3.5
SR4406PSP	9127	1993	N	L	51	169	6.4	6.6
TBP1992006PSP	2996	1992	N	L	34	13	7.7	7.6
SR0216PSP	8976	2000	N	L	15	54	9.7	13.9
SR1210PSP	9011	1994	N	L	1	60	36.3	23.5
1225636PIP	6721	2012	N	L	16	903	11	10.4
CE0026PSP	8672	1999	N	L	36	32	25	24.7
1273661PIP	34	2017	N	L	127	1092	9.7	11
CE2001PSP	8745	1997	N	L	62	70	6.8	9.3
SR0201PSP	8961	1992	N	L	43	124	17.9	21.9
SR5407PSP	9184	1995	N	L	32	94	23.5	16.4
SR0206PSP	8966	1998	N	L	64	55	37.9	26.9
1314886PIP	6994	2015	N	L	42	13	26.8	20.3
HEM_PENT367PGP	12257	1991	N	L	7	19	19.4	17
CE7010PSP	8888	2004	N	L	61	44	14.4	16.45
SR1209PSP	9010	2005	N	L	19	94	24.1	20.1
FCWEY_KEN2003027PGP	6506	2008	N	L	168	38	6.3	4.59
ACH_KPGP	12069	1978	N	L	86	2	30.7	21.7
1253101PIP	9	2017	N	L	73	1092	14.7	11.3
SR1022PSP	8999	2005	N	L	36	40	21.6	19.8
HEA1995002PSP	3350	2014	N	L	47	12	10.2	9.4
SR0016PSP	8956	1995	N	L	27	51	5.2	8.54
WWA1995021PSP	3111	2014	N	L	34	1091	11	9.6
WWA1993003PSP	3088	1993	N	L	54	2	4	3.54
SR4001PSP	9086	1993	N	L	21	44	37.2	26.5
SR4408PSP	9129	1994	N	L	108	41	23	15.1
LD1201PGP	10725	2015	N	L	176	37	3.2	4.8
FCTEM2003007PGP	5963	2008	N	L	161	73	36.6	18.7
SR5023PSP	9160	1999	N	L	51	5	16.8	10.6
1191231PIP	6615	2012	N	L	4	903	9.4	6.9
SR2013PSP	9035	2016	N	L	66	46	27.1	27
HEM_BRUT399PGP	12090	1991	N	L	4	1001	10.2	12
BP1994012PSP	3222	2021	N	L	570	1091	7.6	8.1
HEM_DICK300PGP	12144	1991	N	L	2	19	27.5	20
SR5024PSP	9161	1997	N	L	35	124	2.9	6.74
CE3026PSP	8785	2006	N	L	37	70	41.8	27.4
FCTEM2002041PGP	5868	2002	N	L	81	38	28	20.43
SR0406PSP	8983	1998	N	L	29	86	23.9	21.8
CE4113PSP	8833	1995	N	L	104	2	30.6	27.57
SR0406PSP	8983	1998	N	L	38	86	31.3	23.9
SR0406PSP	8983	1998	N	L	20	86	47.6	26.4
SR1208PSP	9009	2005	N	L	26	78	32.4	28.6
SR4204PSP	9102	1993	N	L	42	55	5.5	5.74
SR5020PSP	9158	1999	N	L	120	47	10.3	14.3
SR0401PSP	8978	1997	N	L	27	75	37.2	24.9
HEM_LAWR486PGP	12208	1999	N	L	20	44	12.9	10.7
SR4406PSP	9127	1999	N	L	107	169	3.2	4.5
KLK1994013PSP	3403	2006	N	L	14	73	33.2	22.98
SR5022PSP	9196	1996	N	L	35	19	29.3	17.55
FCABI200315PGP	4473	2014	N	L	43	20	27.3	20.3
NP1996007PSP	2975	2011	N	L	238	1091	10	7.65
LWP1994009PSP	2919	2005	N	L	176	70	5.7	8.67
1253101PIP	9	2007	N	L	73	1092	13.4	10.23
CE0022PSP	8668	1999	N	L	43	38	29.5	19.1
FCABI200418PGP	4523	2009	N	L	185	3	4	6.52
SR0206PSP	8966	1993	N	L	46	68	25.7	18.5
SR0205PSP	8965	1993	N	L	2	124	25.3	20.5
