plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
1108656	1	2005a	Natural Stand	L 	13a	1a	19.5a	1a7.07	nan	nan	nan	nan	nan	nan	nan
1108656	1	2005	Natural Stand	L 	13	2	18.3	14s.48	71.3188	10.3811	10.0564	11.8814	21.9378	81.6999	103.6377
1108656	1	2005	Natural Stand	L 	13	3	17	13.84	59.2554	8.7996	9.0611	10.1901	19.2512	68.0551	87.3063
1108656	1	2005	Natural Stand	L 	13	4	17.8	13.82	66.5196	9.7557	9.67	11.2149	20.8849	76.2753	97.1602
1108656	1	2005	Natural Stand	L 	13	5	15.7	13.81	48.5118	7.3616	8.0969	8.6334	16.7303	55.8734	72.6037
1108656	1	2005	Natural Stand	L 	13	6	18.2	13.64	70.3428	10.2543	9.9788	11.7465	21.7252	80.5971	102.3224
1108656	1	2005	Natural Stand	L 	13	7	15.7	13.32	48.5118	7.3616	8.0969	8.6334	16.7303	55.8734	72.6037
1108656	1	2005	Natural Stand	L 	13	8	16	12s.08	50.8767	7.6809	8.3166	8.9807	17.2973	58.5576	75.8549
1108656	1	2005	Natural Stand	L 	13	9	10.3	10.77	16.8074	2.8601	4.4608	3.5867	8.0475	19.6675	27.715
1108656	1	2016	Natural Stand	L 	13	95	2220	18000.3	12404869.6161	490034.3425	8906.4415	261522.9216	270429.3631	12894903.9585	13165333.3217
1108656	1	2016	Natural Stand	L 	13	96	18.7	16.01	75.3041	10.897	10.3687	12.429	22.7976	86.201	108.9987
1108656	1	2016	Natural Stand	L 	13	97	16.5	15.4	54.9699	8.2297	8.6865	9.5755	18.262	63.1997	81.4616
1108656	1	2016	Natural Stand	L 	13	98	18	15.2	68.4151	10.0033	9.824	11.4791	21.3031	78.4184	99.7215
1108656	1	2016	Natural Stand	L 	13	99	19.3	14.5	81.5285	11.6968	10.8423	13.2745	24.1168	93.2253	117.3421
1108656	1	2016	Natural Stand	L 	13	100	16.6	14.2	55.8116	8.342	8.761	9.6968	18.4578	64.1536	82.6114
1108656	1	2016	Natural Stand	L 	13	101	16.9	14.1	58.3828	8.684	8.9858	10.0656	19.0514	67.0668	86.1182
1108656	1	2016	Natural Stand	L 	13	102	17.8	13.8	66.5196	9.7557	9.67	11.2149	20.8849	76.2753	97.1602
1108656	1	2016	Natural Stand	L 	13	103	16.4	12.6	54.136	8.1183	8.6121	9.4549	18.0671	62.2543	80.3214
1108656	1	2016	Natural Stand	L 	13	104	17.1	11.6	60.1359	8.9162	9.1366	10.3154	19.452	69.0521	88.504
1108656	1	2016	Natural Stand	L 	13	105	11.2	11.2	20.7485	3.4513	5.0219	4.2708	9.2927	24.1998	33.4925
