Plot	PlotKey	Year	Origin	Tree Status	Tree Number	SpecCode	DBH	Height	Wood (KG)	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
FCDOM200545PGP	5664	2022	N	L	50	1091	18.5	11s.7							
1280546PIP	37	2008	N	L	6	45	17.7	153.9	80.3903	12.5927	2.667	13.1415	15.8085	92.983	108.7916
SR1004PSP	8988	2008	N	L	3	46	33.7	27.1	379.6265	45.2415	8.3028	117.2035	125.5063	424.868	550.3744
FCTEM2004040PGP	6090	2009	N	L	245	12	33.7	24.4	310.8569	38.1388	27.8885	42.9309	70.8194	348.9958	419.8151
TIM2015001PSP	7082	2015	N	L	26	25	27.9	21.1	215.7726	19.5918	11.3232	36.8841	48.2073	235.3644	283.5717
SR2013PSP	9035	2016	N	L	35	51	30.0	25.3	204.1239	37.8806	7.5617	46.5394	54.1011	242.0045	296.1056
NBBY043PGP	12421	2003	N	L	42	170	14.8	15.4							
NBPWP031PGP	12386	2002	N	L	134	139	5.5	7.5							
SR1004PSP	8988	2008	N	L	6	89	50.9	29.3							
SR4426PSP	9142	1999	N	L	49	56	11.0	11.4							
NP1996002PSP	2970	2003	N	L	79	74	22.8	21.3	138.8814	30.0212	4.2719	21.2318	25.5037	168.9026	194.4062
SR2011PSP	9033	1994	N	L	55	70	40.6	23.9	563.1124	116.3892	13.9351	86.9996	100.9347	679.5016	780.4363
SR0201PSP	8961	1992	N	L	48	33	4.2	8.22	4.7322	0.5218	0.8697	0.2401	1.1098	5.254	6.3639
SR5204PSP	9165	1995	N	L	89	169	15.5	14.2							
SR1008PSP	8990	2000	N	L	1	89	34.1	30.1							
SR1210PSP	9011	1994	N	L	35	136	44.1	26							
SR0206PSP	8966	1998	N	L	27	54	12.6	15.6							
CE1036PSP	8741	2000	N	L	112	30	21.5	19							
CHA2008002PSP	6867	2010	N	L	58	12	4.2	3.5	1.4505	0.3157	1.3143	0.5618	1.8761	1.7662	3.6423
