BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-18 09:45:54
Total records: 17664

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)
------------------------------------------------------------------------------
FCDOM200545PGP	5664	2022	N	L	50	1091	18.5	11s.7	N/A
1280546PIP	37	2008	N	L	6	45	17.7	153.9	80.3903
SR1004PSP	8988	2008	N	L	3	46	33.7	27.1	379.6265
FCTEM2004040PGP	6090	2009	N	L	245	12	33.7	24.4	310.8569
TIM2015001PSP	7082	2015	N	L	26	25	277.9	271.1	59882.1294
SR2013PSP	9035	2016	N	L	35	51	370.0	25.3	87019.4053
NBBY043PGP	12421	2003	N	L	42	170	14.8	15.4	N/A
NBPWP031PGP	12386	2002	N	L	134	139	5.5	7.5	N/A
SR1004PSP	8988	2008	N	L	6	89	50.9	29.3	N/A
SR4426PSP	9142	1999	N	L	49	56	11.0	11.4	N/A
NP1996002PSP	2970	2003	N	L	79	74	22.8	21.3	138.8814
SR2011PSP	9033	1994	N	L	55	70	40.6	23.9	563.1124
SR0201PSP	8961	1992	N	L	48	33	4.2	8.22	4.7322
SR5204PSP	9165	1995	N	L	89	169	15.5	14.2	N/A
SR1008PSP	8990	2000	N	L	1	89	34.1	30.1	N/A
SR1210PSP	9011	1994	N	L	35	136	44.1	26	N/A
SR0206PSP	8966	1998	N	L	27	54	12.6	15.6	N/A
CE1036PSP	8741	2000	N	L	112	30	21.5	19	N/A
CHA2008002PSP	6867	2010	N	L	58	12	4.2	3.5	1.4505
SR4406PSP	9127	1993	N	L	51	169	6.4	6.6	N/A
TBP1992006PSP	2996	1992	N	L	34	13	7.7	7.6	8.0868
SR0216PSP	8976	2000	N	L	15	54	9.7	13.9	N/A
SR1210PSP	9011	1994	N	L	1	60	36.3	23.5	N/A
1225636PIP	6721	2012	N	L	16	903	11.0	10.4	N/A
CE0026PSP	8672	1999	N	L	36	32	25.0	24.7	192.2772
1273661PIP	34	2017	N	L	127	1092	9.7	11	N/A
CE2001PSP	8745	1997	N	L	62	70	6.8	9.3	8.5583
SR0201PSP	8961	1992	N	L	43	124	17.9	21.9	N/A
