BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-21 12:37:34
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Wood (KG)	Bark (KG)	Branch (KG)	Foliage (KG)	Stem (KG)	Crown (KG)	Total (KG)
-------------------------------------------------------------------------------------------------------------------------------------------------
FCDOM200545PGP	5664	2022a	N	L	50a	1091a	18.5a	11s.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1280546PIP	37	2008	N	L	6	45	17.7	153.9	292.5976	3.4458	4.4148	19.7302	296.0434	24.1450	320.1884
SR1004PSP	8988	2008	N	L	3	46	33.7	27.1	523.8648	55.6264	117.3760	10.4303	579.4912	127.8062	707.2974
FCTEM2004040PGP	6090	2009	N	L	245	12	33.7	24.4	328.0905	38.4472	40.7859	25.1766	366.5377	65.9625	432.5001
TIM2015001PSP	7082	2015	N	L	26	25	277.9	271.1	205257.1974	4593.0617	2354.0172	141.8200	209850.2591	2495.8371	212346.0962
SR2013PSP	9035	2016	N	L	35	51	370	25.3	38274.8784	2780.3270	8995.8220	736.4216	41055.2054	9732.2435	50787.4489
NBBY043PGP	12421	2003	N	L	42	170	14.8	15.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NBPWP031PGP	12386	2002	N	L	134	139	5.5	7.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1004PSP	8988	2008	N	L	6	89	50.9	29.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR4426PSP	9142	1999	N	L	49	56	11	11.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NP1996002PSP	2970	2003	N	L	79	74	22.8	21.3	154.7217	32.0195	19.2757	4.2551	186.7411	23.5308	210.2720
SR2011PSP	9033	1994	N	L	55	70	40.6	23.9	12022.2215	122.6501	98.3594	13.3390	12144.8716	111.6984	12256.5700
SR0201PSP	8961	1992	N	L	48	33	4.2	8.22	3.3064	0.4849	0.3572	1.4269	3.7913	1.7841	5.5754
SR5204PSP	9165	1995	N	L	89	169	15.5	14.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1008PSP	8990	2000	N	L	1	89	34.1	30.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1210PSP	9011	1994	N	L	35	136	44.1	26	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR0206PSP	8966	1998	N	L	27	54	12.6	15.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE1036PSP	8741	2000	N	L	112	30	21.5	19	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHA2008002PSP	6867	2010	N	L	58	12	4.2	3.5	1.1794	0.3189	0.6253	1.5301	1.4982	2.1555	3.6537
SR4406PSP	9127	1993	N	L	51	169	6.4	6.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TBP1992006PSP	2996	1992	N	L	34	13	7.7	7.6	8.4286	1.5276	1.6356	2.4397	9.9562	4.0753	14.0315
SR0216PSP	8976	2000	N	L	15	54	9.7	13.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR1210PSP	9011	1994	N	L	1	60	36.3	23.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1225636PIP	6721	2012	N	L	16	903	11	10.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE0026PSP	8672	1999	N	L	36	32	25	24.7	242.3448	23.6842	52.7299	6.9070	266.0291	59.6368	325.6659
1273661PIP	34	2017	N	L	127	1092	9.7	11	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CE2001PSP	8745	1997	N	L	62	70	6.8	9.3	51.9942	1.9932	0.8116	0.5293	53.9874	1.3410	55.3284
SR0201PSP	8961	1992	N	L	43	124	17.9	21.9	N/A	N/A	N/A	N/A	N/A	N/A	N/A
