BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-22 10:33:54
Total records: 1104

plot	plotkey	year	origin	tree status	tree number	speccode	dbh	height	Bark (KG)	Foliage (KG)	Branch (KG)	Crown (KG)	Stem (KG)	Total (KG)
---------------------------------------------------------------------------------------------------------------------------------------
FCDOM200545PGP	5664	2022a	N	L	50a	1091a	18.5a	11s.7	N/A	N/A	N/A	N/A	N/A	N/A
1280546PIP	37	2008	N	L	6	45	17.7	153.9	12.5927	2.6670	13.1415	15.8086	92.9830	108.7916
SR1004PSP	8988	2008	N	L	3	46	33.7	27.1	45.2415	8.3028	117.2035	125.5064	424.8680	550.3744
FCTEM2004040PGP	6090	2009	N	L	245	12	33.7	24.4	38.1388	27.8885	42.9309	70.8194	348.9958	419.8151
TIM2015001PSP	7082	2015	N	L	26	25	277.9	271.1	2508.1504	345.8731	6732.1287	7078.0017	62390.2799	69468.2816
SR2013PSP	9035	2016	N	L	35	51	370	25.3	7363.2048	463.0131	12878.8455	13341.8586	94382.6101	107724.4687
NBBY043PGP	12421	2003	N	L	42	170	14.8	15.4	N/A	N/A	N/A	N/A	N/A	N/A
NBPWP031PGP	12386	2002	N	L	134	139	5.5	7.5	N/A	N/A	N/A	N/A	N/A	N/A
SR1004PSP	8988	2008	N	L	6	89	50.9	29.3	N/A	N/A	N/A	N/A	N/A	N/A
SR4426PSP	9142	1999	N	L	49	56	11	11.4	N/A	N/A	N/A	N/A	N/A	N/A
NP1996002PSP	2970	2003	N	L	79	74	22.8	21.3	30.0212	4.2719	21.2318	25.5037	168.9026	194.4062
SR2011PSP	9033	1994	N	L	55	70	40.6	23.9	116.3892	13.9351	86.9996	100.9347	679.5016	780.4363
SR0201PSP	8961	1992	N	L	48	33	4.2	8.22	0.5218	0.8697	0.2401	1.1099	5.2540	6.3639
SR5204PSP	9165	1995	N	L	89	169	15.5	14.2	N/A	N/A	N/A	N/A	N/A	N/A
SR1008PSP	8990	2000	N	L	1	89	34.1	30.1	N/A	N/A	N/A	N/A	N/A	N/A
SR1210PSP	9011	1994	N	L	35	136	44.1	26	N/A	N/A	N/A	N/A	N/A	N/A
SR0206PSP	8966	1998	N	L	27	54	12.6	15.6	N/A	N/A	N/A	N/A	N/A	N/A
CE1036PSP	8741	2000	N	L	112	30	21.5	19	N/A	N/A	N/A	N/A	N/A	N/A
CHA2008002PSP	6867	2010	N	L	58	12	4.2	3.5	0.3157	1.3143	0.5618	1.8761	1.7662	3.6423
SR4406PSP	9127	1993	N	L	51	169	6.4	6.6	N/A	N/A	N/A	N/A	N/A	N/A
TBP1992006PSP	2996	1992	N	L	34	13	7.7	7.6	1.4894	2.9561	1.9562	4.9123	9.5762	14.4884
SR0216PSP	8976	2000	N	L	15	54	9.7	13.9	N/A	N/A	N/A	N/A	N/A	N/A
SR1210PSP	9011	1994	N	L	1	60	36.3	23.5	N/A	N/A	N/A	N/A	N/A	N/A
1225636PIP	6721	2012	N	L	16	903	11	10.4	N/A	N/A	N/A	N/A	N/A	N/A
CE0026PSP	8672	1999	N	L	36	32	25	24.7	24.2443	6.8611	52.0427	58.9038	216.5214	275.4253
1273661PIP	34	2017	N	L	127	1092	9.7	11	N/A	N/A	N/A	N/A	N/A	N/A
CE2001PSP	8745	1997	N	L	62	70	6.8	9.3	2.1880	0.3806	0.7599	1.1405	10.7463	11.8868
SR0201PSP	8961	1992	N	L	43	124	17.9	21.9	N/A	N/A	N/A	N/A	N/A	N/A
SR5407PSP	9184	1995	N	L	32	94	23.5	16.4	N/A	N/A	N/A	N/A	N/A	N/A
SR0206PSP	8966	1998	N	L	64	55	37.9	26.9	N/A	N/A	N/A	N/A	N/A	N/A
1314886PIP	6994	2015	N	L	42	13	26.8	20.3	24.4261	17.2492	26.3109	43.5600	210.5701	254.1301
HEM_PENT367PGP	12257	1991	N	L	7	19	19.4	17	13.8444	11.9807	17.9356	29.9163	86.1819	116.0982
CE7010PSP	8888	2004	N	L	61	44	14.4	16.45	4.7046	2.8026	20.4741	23.2767	72.6698	95.9465
SR1209PSP	9010	2005	N	L	19	94	24.1	20.1	N/A	N/A	N/A	N/A	N/A	N/A
FCWEY_KEN2003027PGP	6506	2008	N	L	168	38	6.3	4.59	1.1298	1.1071	1.4832	2.5904	7.0656	9.6560
ACH_KPGP	12069	1978	N	L	86	2	30.7	21.7	21.2230	25.3061	40.7732	66.0793	266.4471	332.5264
1253101PIP	9	2017	N	L	73	1092	14.7	11.3	N/A	N/A	N/A	N/A	N/A	N/A
SR1022PSP	8999	2005	N	L	36	40	21.6	19.8	15.0363	4.5740	35.5480	40.1220	114.0973	154.2193
HEA1995002PSP	3350	2014	N	L	47	12	10.2	9.4	2.4348	4.8307	3.5645	8.3951	16.7159	25.1110
SR0016PSP	8956	1995	N	L	27	51	5.2	8.54	0.9592	0.4286	0.9211	1.3497	3.9476	5.2973
WWA1995021PSP	3111	2014	N	L	34	1091	11	9.6	N/A	N/A	N/A	N/A	N/A	N/A
WWA1993003PSP	3088	1993	N	L	54	2	4	3.54	0.3236	0.3732	0.1497	0.5229	1.9994	2.5223
SR4001PSP	9086	1993	N	L	21	44	37.2	26.5	39.3834	12.9961	193.7525	206.7487	641.5607	848.3094
SR4408PSP	9129	1994	N	L	108	41	23	15.1	27.4997	7.0997	51.7202	58.8200	181.5067	240.3267
LD1201PGP	10725	2015	N	L	176	37	3.2	4.8	0.2622	0.5684	0.4999	1.0683	2.6367	3.7050
FCTEM2003007PGP	5963	2008	N	L	161	73	36.6	18.7	59.7790	9.4644	72.0001	81.4645	408.6243	490.0888
SR5023PSP	9160	1999	N	L	51	5	16.8	10.6	N/A	N/A	N/A	N/A	N/A	N/A
1191231PIP	6615	2012	N	L	4	903	9.4	6.9	N/A	N/A	N/A	N/A	N/A	N/A
SR2013PSP	9035	2016	N	L	66	46	27.1	27	29.2905	6.3535	72.0996	78.4531	266.0320	344.4850
HEM_BRUT399PGP	12090	1991	N	L	4	1001	10.2	12	N/A	N/A	N/A	N/A	N/A	N/A
BP1994012PSP	3222	2021	N	L	570	1091	7.6	8.1	N/A	N/A	N/A	N/A	N/A	N/A
HEM_DICK300PGP	12144	1991	N	L	2	19	27.5	20	31.1939	21.6774	39.5348	61.2123	197.2768	258.4891
SR5024PSP	9161	1997	N	L	35	124	2.9	6.74	N/A	N/A	N/A	N/A	N/A	N/A
CE3026PSP	8785	2006	N	L	37	70	41.8	27.4	124.1786	14.7774	93.9893	108.7667	727.0638	835.8305
FCTEM2002041PGP	5868	2002	N	L	81	38	28	20.43	40.8491	12.6894	66.8679	79.5573	288.9981	368.5553
SR0406PSP	8983	1998	N	L	29	86	23.9	21.8	N/A	N/A	N/A	N/A	N/A	N/A
CE4113PSP	8833	1995	N	L	104	2	30.6	27.57	21.0813	25.1358	40.4088	65.5447	264.3558	329.9005
SR0406PSP	8983	1998	N	L	38	86	31.3	23.9	N/A	N/A	N/A	N/A	N/A	N/A
SR0406PSP	8983	1998	N	L	20	86	47.6	26.4	N/A	N/A	N/A	N/A	N/A	N/A
SR1208PSP	9009	2005	N	L	26	78	32.4	28.6	N/A	N/A	N/A	N/A	N/A	N/A
SR4204PSP	9102	1993	N	L	42	55	5.5	5.74	N/A	N/A	N/A	N/A	N/A	N/A
SR5020PSP	9158	1999	N	L	120	47	10.3	14.3	4.9696	1.7848	4.1207	5.9055	30.4310	36.3366
SR0401PSP	8978	1997	N	L	27	75	37.2	24.9	N/A	N/A	N/A	N/A	N/A	N/A
HEM_LAWR486PGP	12208	1999	N	L	20	44	12.9	10.7	3.6776	2.3461	15.7790	18.1250	56.4584	74.5835
SR4406PSP	9127	1999	N	L	107	169	3.2	4.5	N/A	N/A	N/A	N/A	N/A	N/A
KLK1994013PSP	3403	2006	N	L	14	73	33.2	22.98	48.6489	8.0804	56.8868	64.9672	323.2927	388.2599
SR5022PSP	9196	1996	N	L	35	19	29.3	17.55	36.1556	24.1437	45.6410	69.7846	229.3151	299.0998
FCABI200315PGP	4473	2014	N	L	43	20	27.3	20.3	27.1258	20.9871	31.1755	52.1626	178.0087	230.1713
NP1996007PSP	2975	2011	N	L	238	1091	10	7.65	N/A	N/A	N/A	N/A	N/A	N/A
LWP1994009PSP	2919	2005	N	L	176	70	5.7	8.67	1.4778	0.2667	0.4758	0.7426	7.1380	7.8806
1253101PIP	9	2007	N	L	73	1092	13.4	10.23	N/A	N/A	N/A	N/A	N/A	N/A
CE0022PSP	8668	1999	N	L	43	38	29.5	19.1	46.3123	13.8197	76.3982	90.2179	329.0810	419.2989
FCABI200418PGP	4523	2009	N	L	185	3	4	6.52	0.3245	0.4275	0.2249	0.6523	2.5771	3.2294
SR0206PSP	8966	1993	N	L	46	68	25.7	18.5	N/A	N/A	N/A	N/A	N/A	N/A
SR0205PSP	8965	1993	N	L	2	124	25.3	20.5	N/A	N/A	N/A	N/A	N/A	N/A
