BIOMASS CALCULATION RESULTS
==================================================
Generated on: 2025-11-23 08:17:11
Total records: 2522

plot	subplot	year	origin	tree status	speccode	tree number	dbh	height	Total (KG)
-------------------------------------------------------------------------------
1108656	1	2005a	Natural Stand	L 	13a	1a	19.5a	1a7.07	N/A
1108656	1	2005	Natural Stand	L 	13	2	18.3	14s.48	N/A
1108656	1	2005	Natural Stand	L 	13	3	17	13.84	88.0004
1108656	1	2005	Natural Stand	L 	13	4	17.8	13.82	96.3736
1108656	1	2005	Natural Stand	L 	13	5	15.7	13.81	75.1137
1108656	1	2005	Natural Stand	L 	13	6	18.2	13.64	100.1594
1108656	1	2005	Natural Stand	L 	13	7	15.7	13.32	73.7484
1108656	1	2005	Natural Stand	L 	13	8	16	12s.08	N/A
1108656	1	2005	Natural Stand	L 	13	9	10.3	10.77	28.8573
1108656	1	2016	Natural Stand	L 	13	95	2220	18000.3	418266443.5767
1108656	1	2016	Natural Stand	L 	13	96	18.7	16.01	114.6975
1108656	1	2016	Natural Stand	L 	13	97	16.5	15.4	87.9473
1108656	1	2016	Natural Stand	L 	13	98	18	15.2	103.4130
1108656	1	2016	Natural Stand	L 	13	99	19.3	14.5	115.8723
1108656	1	2016	Natural Stand	L 	13	100	16.6	14.2	85.0546
1108656	1	2016	Natural Stand	L 	13	101	16.9	14.1	87.7919
1108656	1	2016	Natural Stand	L 	13	102	17.8	13.8	96.3083
1108656	1	2016	Natural Stand	L 	13	103	16.4	12.6	78.4605
1108656	1	2016	Natural Stand	L 	13	104	17.1	11.6	82.9198
1108656	1	2016	Natural Stand	L 	13	105	11.2	11.2	34.7087
1108656	1	2016	Natural Stand	L 	13	106	6.9	7.72	11.2588
1108656	1	2016	Natural Stand	L 	13	107	6	5.28	7.8907
1108656	1	2016	Natural Stand	L 	13	108	4	4.4	3.2650
1108656	1	2016	Natural Stand	L 	13	109	3.2	3.01	2.1500
1108656	1	2016	Natural Stand	L 	13	110	2.7	2.74	1.5037
1108656	1	2016	Natural Stand	L 	13	111	3.5	2.36	3.0878
1115341	1	2014	Natural Stand	L 	13	187	10.7	8.5	28.6545
1115341	1	2014	Natural Stand	L 	13	188	10.5	7.3	26.9794
1115341	1	2014	Natural Stand	L 	13	189	8.6	7	17.4408
1115341	1	2014	Natural Stand	L 	13	190	8.3	6.4	16.0597
1115341	1	2014	Natural Stand	L 	13	191	5.7	4.6	7.1514
1115341	1	2014	Natural Stand	L 	13	192	5.2	4.4	5.8569
1115341	1	2022	Natural Stand	L 	13	259	9	7.6	19.4474
1115341	1	2022	Natural Stand	L 	13	260	10.5	7.4	26.9967
1115341	1	2022	Natural Stand	L 	13	261	8.6	6.6	17.3697
1115341	1	2022	Natural Stand	L 	13	262	7.8	5	14.4247
1115341	1	2022	Natural Stand	L 	13	263	5.8	4.7	7.4093
1115341	1	2022	Natural Stand	L 	13	264	5.4	4.7	6.3074
1115341	1	2022	Natural Stand	L 	13	265	7	4.5	11.5766
1115341	1	2022	Natural Stand	L 	13	266	4.1	4.1	3.4717
1115541	1	2005	Natural Stand	L 	13	330	10.6	9.66	29.1793
1115541	1	2005	Natural Stand	L 	13	331	8.9	7.67	19.0273
1115541	1	2005	Natural Stand	L 	13	332	8.6	7.49	17.6181
1115541	1	2005	Natural Stand	L 	13	333	9.7	7.4	22.7331
1115541	1	2005	Natural Stand	L 	13	334	9.5	6.76	21.6197
1115541	1	2005	Natural Stand	L 	13	335	9.8	6.4	23.2294
1115541	1	2005	Natural Stand	L 	13	336	6.5	5.09	9.4633
1115541	1	2016	Natural Stand	L 	13	448	11.6	10.9	36.7518
1115541	1	2016	Natural Stand	L 	13	449	9.9	8.8	24.5914
1115541	1	2016	Natural Stand	L 	13	450	10.7	8.72	28.8256
1115541	1	2016	Natural Stand	L 	13	451	9	8.1	19.7230
1115541	1	2016	Natural Stand	L 	13	452	10.7	7.61	28.1826
1115541	1	2016	Natural Stand	L 	13	453	10.7	7.1	28.1139
1115541	1	2016	Natural Stand	L 	13	454	7.8	6.11	14.0097
1115541	1	2016	Natural Stand	L 	13	455	3.7	3.8	2.7939
1115541	1	2016	Natural Stand	L 	13	456	3.4	3.5	2.3503
1115541	1	2016	Natural Stand	L 	13	457	2.6	3.1	1.3196
1115541	1	2016	Natural Stand	L 	13	458	2.7	2.8	1.4897
1122221	1	2010	Natural Stand	L 	13	616	8.5	6.28	16.9269
1122221	1	2010	Natural Stand	L 	13	617	7.5	5.41	12.9596
1122221	1	2010	Natural Stand	L 	13	618	5.7	5.19	7.0529
1122221	1	2010	Natural Stand	L 	13	619	7.6	5.12	13.4993
1122221	1	2010	Natural Stand	L 	13	620	7.3	5.01	12.3658
1122221	1	2010	Natural Stand	L 	13	621	6.1	4.84	8.2632
1122221	1	2010	Natural Stand	L 	13	622	6.5	4.8	9.5646
1122221	1	2010	Natural Stand	L 	13	623	5.8	4.75	7.3958
1122221	1	2010	Natural Stand	L 	13	624	5.4	4.65	6.3169
1122221	1	2010	Natural Stand	L 	13	625	6.4	4.61	9.3209
1122221	1	2010	Natural Stand	L 	13	626	5	4.51	5.3384
1122221	1	2010	Natural Stand	L 	13	627	5.3	4.32	6.1413
1122221	1	2010	Natural Stand	L 	13	628	7.2	4.32	12.5779
1122221	1	2010	Natural Stand	L 	13	629	4.1	4.09	3.4730
1122221	1	2010	Natural Stand	L 	13	630	2.9	3.03	1.7057
1122221	1	2010	Natural Stand	L 	13	631	2.6	2.54	1.4269
1122221	1	2022	Natural Stand	L 	13	661	9.2	7.1	20.1986
1122221	1	2022	Natural Stand	L 	13	662	7.8	5.9	14.0260
1122221	1	2022	Natural Stand	L 	13	663	6	5.6	7.8893
1122221	1	2022	Natural Stand	L 	13	664	7.4	5.4	12.5753
1122221	1	2022	Natural Stand	L 	13	665	8	5.3	15.0734
1122221	1	2022	Natural Stand	L 	13	666	7.9	5.3	14.6439
1122221	1	2022	Natural Stand	L 	13	667	7.1	5.2	11.5172
1122221	1	2022	Natural Stand	L 	13	668	6.4	5.2	9.1159
1122221	1	2022	Natural Stand	L 	13	669	5.5	5	6.5307
1122221	1	2022	Natural Stand	L 	13	670	6.9	5	10.8704
1122221	1	2022	Natural Stand	L 	13	671	6	4.9	7.9453
1122221	1	2022	Natural Stand	L 	13	672	5.4	4.8	6.2915
1122221	1	2022	Natural Stand	L 	13	673	7.6	4.7	13.8406
1122221	1	2022	Natural Stand	L 	13	674	4.6	4.4	4.4452
1122221	1	2022	Natural Stand	L 	13	675	5.5	4.2	6.7387
1122221	1	2022	Natural Stand	L 	13	676	3.8	4.1	2.9318
1122221	1	2022	Natural Stand	L 	13	677	3.1	3.2	1.9526
1122221	1	2022	Natural Stand	L 	13	678	3	2.7	1.9429
1129066	1	2009	Natural Stand	L 	13	705	8.1	6.53	15.2374
1129066	1	2009	Natural Stand	L 	13	706	7.4	6.46	12.5239
1129066	1	2009	Natural Stand	L 	13	707	7	6.44	11.1149
1129066	1	2009	Natural Stand	L 	13	708	6.6	6.01	9.7314
1129066	1	2009	Natural Stand	L 	13	709	4.5	4.53	4.2216
1129066	1	2009	Natural Stand	L 	13	710	5.9	4.35	7.8477
1129066	1	2009	Natural Stand	L 	13	711	3.3	3.23	2.2482
1129066	1	2009	Natural Stand	L 	13	712	2.7	3.15	1.4313
1129066	1	2019	Natural Stand	L 	13	801	9.3	7.6	20.8480
1129066	1	2019	Natural Stand	L 	13	802	10	7.5	24.3106
1129066	1	2019	Natural Stand	L 	13	803	8	7.5	15.1412
1129066	1	2019	Natural Stand	L 	13	804	8	7.3	15.0526
1129066	1	2019	Natural Stand	L 	13	805	6.5	4.6	9.6672
1129066	1	2019	Natural Stand	L 	13	806	4.4	3.9	4.1153
1129066	1	2019	Natural Stand	L 	13	807	3.3	3.8	2.1642
1129066	1	2019	Natural Stand	L 	13	808	5.8	3.6	8.1526
1129066	1	2019	Natural Stand	L 	13	809	5.4	2.7	8.3060
1129141	1	2017	Natural Stand	L 	13	938	11.6	7.9	33.6910
1129141	1	2017	Natural Stand	L 	13	939	9.8	7.5	23.2752
1129141	1	2017	Natural Stand	L 	13	940	9	6.8	19.2040
1129141	1	2017	Natural Stand	L 	13	941	9.4	6.7	21.1213
1129141	1	2017	Natural Stand	L 	13	942	6.4	4.9	9.1937
1129141	1	2017	Natural Stand	L 	13	943	5.4	4.3	6.4175
1129141	1	2017	Natural Stand	L 	13	944	4.9	4.25	5.1543
1129141	1	2017	Natural Stand	L 	13	945	3	2.56	2.0014
1129306	1	2005	Natural Stand	L 	13	997	14	13.29	58.7741
1129306	1	2005	Natural Stand	L 	13	998	14.5	12.69	61.5133
1129306	1	2005	Natural Stand	L 	13	999	13.6	10.09	49.4217
1129306	1	2005	Natural Stand	L 	13	1000	11.7	9.68	35.7398
1129306	1	2005	Natural Stand	L 	13	1001	12.4	9.36	39.9451
1129306	1	2005	Natural Stand	L 	13	1002	10.8	8.13	28.9811
1129306	1	2005	Natural Stand	L 	13	1003	11.8	8.05	35.0221
1129306	1	2005	Natural Stand	L 	13	1004	8.2	7.47	15.9298
1129306	1	2005	Natural Stand	L 	13	1005	8.3	6.43	16.0609
1129306	1	2005	Natural Stand	L 	13	1006	7.5	6.23	12.8613
1129306	1	2005	Natural Stand	L 	13	1007	6.5	4.99	9.4925
1129306	1	2007	Natural Stand	L 	13	1097	14	13.2	58.5606
1129306	1	2007	Natural Stand	L 	13	1098	14.5	12.2	60.3958
1129306	1	2007	Natural Stand	L 	13	1099	13.4	10.4	48.3691
1129306	1	2007	Natural Stand	L 	13	1100	11.7	9.8	35.8828
1129306	1	2007	Natural Stand	L 	13	1101	12.6	9.5	41.4610
1129306	1	2007	Natural Stand	L 	13	1102	11	8.76	30.5777
1129306	1	2007	Natural Stand	L 	13	1103	11.8	8.53	35.2837
1129306	1	2007	Natural Stand	L 	13	1104	8.4	7.7	16.8689
1129306	1	2007	Natural Stand	L 	13	1105	7.7	6.6	13.6691
1129306	1	2007	Natural Stand	L 	13	1106	8.6	6.5	17.3641
1129306	1	2007	Natural Stand	L 	13	1107	6.5	5.1	9.4607
1129306	1	2018	Natural Stand	L 	13	1197	12.4	10.7	41.7048
1129306	1	2018	Natural Stand	L 	13	1198	13.5	10.6	49.4264
1129306	1	2018	Natural Stand	L 	13	1199	9.9	10.2	26.0056
1129306	1	2018	Natural Stand	L 	13	1200	12.1	9.66	38.2855
1129306	1	2018	Natural Stand	L 	13	1201	12.9	9.43	43.4811
1129306	1	2018	Natural Stand	L 	13	1202	10	8.9	25.1927
1129306	1	2018	Natural Stand	L 	13	1203	9.4	8.6	21.9467
1129306	1	2018	Natural Stand	L 	13	1204	9	7.8	19.5479
1129306	1	2018	Natural Stand	L 	13	1205	10.2	7.5	25.3735
1129306	1	2018	Natural Stand	L 	13	1206	7.2	5.9	11.7527
1129306	1	2018	Natural Stand	L 	13	1207	2.8	3.2	1.5479
1135991	1	2008	Natural Stand	V 	13	1308	13.2	7.89	44.7633
1135991	1	2008	Natural Stand	V 	13	1309	10.7	6.78	28.1680
1135991	1	2008	Natural Stand	V 	13	1310	8.7	5.81	17.9546
1135991	1	2008	Natural Stand	V 	13	1311	7.1	5.05	11.5809
1135991	1	2008	Natural Stand	V 	13	1312	5.8	4.34	7.5480
1135991	1	2008	Natural Stand	L 	13	1313	5	4.31	5.3806
1135991	1	2008	Natural Stand	L 	13	1314	3.4	3.11	2.4446
1135991	1	2008	Natural Stand	L 	13	1315	2.6	2.78	1.3684
1135991	1	2008	Natural Stand	L 	13	1316	2.8	2.74	1.6379
1135991	1	2019	Natural Stand	L 	13	1318	14.2	8.8	52.8083
1135991	1	2019	Natural Stand	L 	13	1319	11.5	7.5	32.9772
1135991	1	2019	Natural Stand	L 	13	1320	8.6	7.4	17.5790
1135991	1	2019	Natural Stand	L 	13	1321	10.2	6.7	25.3232
1135991	1	2019	Natural Stand	L 	13	1322	8.3	6.5	16.0654
1135991	1	2019	Natural Stand	L 	13	1323	6.8	5.5	10.3851
1135991	1	2019	Natural Stand	L 	13	1324	5.6	4.7	6.8445
1135991	1	2019	Natural Stand	L 	13	1325	5	4.5	5.3401
1135991	1	2019	Natural Stand	L 	13	1326	4.9	4.4	5.1210
1136156	1	2006	Natural Stand	L 	13	1333	22.8	17.01	174.8567
1136156	1	2006	Natural Stand	L 	13	1334	20.9	15.62	140.8193
1136156	1	2006	Natural Stand	L 	13	1335	21.3	13.9	138.8518
1136156	1	2006	Natural Stand	L 	13	1336	13.4	13.42	54.2495
1136156	1	2006	Natural Stand	L 	13	1337	14.1	13.29	59.5991
1136156	1	2006	Natural Stand	L 	13	1338	17.2	13.13	87.9071
1136156	1	2006	Natural Stand	L 	13	1339	16.5	12.41	78.9383
1136156	1	2006	Natural Stand	L 	13	1340	18.8	12.39	103.0705
1136156	1	2006	Natural Stand	L 	13	1341	17.3	11.29	84.2846
1136156	1	2006	Natural Stand	L 	13	1342	5.1	3.83	5.8289
1136156	1	2017	Natural Stand	L 	13	1400	21.3	17	152.9789
1136156	1	2017	Natural Stand	L 	13	1401	22	14.4	150.4074
